Product ID,TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,Printing,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
652786,8925547,Riftbound: League of Legends Trading Card Game,Origins,Captain Farron,,015/298,Uncommon,Near Mint,Normal,0.11,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652786_in_200x200.jpg
652976,8927017,Riftbound: League of Legends Trading Card Game,Origins,Whirlwind,,187/298,Uncommon,Near Mint,Normal,0.14,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652976_in_200x200.jpg
653005,8927202,Riftbound: League of Legends Trading Card Game,Origins,Forge of the Future,,212/298,Common,Near Mint,Normal,0.09,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/653005_in_200x200.jpg
652965,8926907,Riftbound: League of Legends Trading Card Game,Origins,Sneaky Deckhand,,176/298,Common,Near Mint,Normal,0.21,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652965_in_200x200.jpg
652953,8926792,Riftbound: League of Legends Trading Card Game,Origins,Cemetery Attendant,,165/298,Common,Near Mint,Normal,0.08,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652953_in_200x200.jpg
652772,8925412,Riftbound: League of Legends Trading Card Game,Origins,Brazen Buccaneer,,002/298,Common,Near Mint,Normal,0.05,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652772_in_200x200.jpg
652784,8925527,Riftbound: League of Legends Trading Card Game,Origins,Pouty Poro,,013/298,Common,Near Mint,Normal,0.11,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652784_in_200x200.jpg
652791,8925597,Riftbound: League of Legends Trading Card Game,Origins,Scrapyard Champion,,020/298,Uncommon,Near Mint,Normal,0.10,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652791_in_200x200.jpg
652915,8926517,Riftbound: League of Legends Trading Card Game,Origins,Dune Drake,,131/298,Common,Near Mint,Normal,0.10,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652915_in_200x200.jpg
652963,8926887,Riftbound: League of Legends Trading Card Game,Origins,Sai Scout,,174/298,Common,Near Mint,Normal,0.05,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652963_in_200x200.jpg
652999,8927142,Riftbound: League of Legends Trading Card Game,Origins,Back to Back,,206/298,Common,Near Mint,Normal,0.10,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652999_in_200x200.jpg
653011,8927257,Riftbound: League of Legends Trading Card Game,Origins,Trifarian Gloryseeker,,217/298,Common,Near Mint,Normal,0.12,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/653011_in_200x200.jpg
652827,8925847,Riftbound: League of Legends Trading Card Game,Origins,Solari Shieldbearer,,051/298,Common,Near Mint,Normal,0.13,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652827_in_200x200.jpg
652868,8926152,Riftbound: League of Legends Trading Card Game,Origins,Mega-Mech,,088/298,Common,Near Mint,Normal,0.05,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652868_in_200x200.jpg
652911,8926477,Riftbound: League of Legends Trading Card Game,Origins,Cannon Barrage,,127/298,Common,Near Mint,Normal,0.12,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652911_in_200x200.jpg
652921,8926577,Riftbound: League of Legends Trading Card Game,Origins,Stormclaw Ursine,,137/298,Common,Near Mint,Normal,0.08,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652921_in_200x200.jpg
652836,8925937,Riftbound: League of Legends Trading Card Game,Origins,Mask of Foresight,,060/298,Uncommon,Near Mint,Normal,0.23,,,,,2,,https://tcgplayer-cdn.tcgplayer.com/product/652836_in_200x200.jpg
652867,8926142,Riftbound: League of Legends Trading Card Game,Origins,Lecturing Yordle,,087/298,Common,Near Mint,Normal,0.15,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652867_in_200x200.jpg
652934,8926697,Riftbound: League of Legends Trading Card Game,Origins,Kraken Hunter,,150/298,Rare,Near Mint,Foil,0.19,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652934_in_200x200.jpg
652908,8926452,Riftbound: League of Legends Trading Card Game,Origins,Bilgewater Bully,,125/298,Common,Near Mint,Normal,0.07,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652908_in_200x200.jpg
653013,8927277,Riftbound: League of Legends Trading Card Game,Origins,Vanguard Sergeant,,219/298,Common,Near Mint,Normal,0.04,,,,,2,,https://tcgplayer-cdn.tcgplayer.com/product/653013_in_200x200.jpg
652960,8926857,Riftbound: League of Legends Trading Card Game,Origins,Mystic Poro,,171/298,Common,Near Mint,Normal,0.12,,,,,2,,https://tcgplayer-cdn.tcgplayer.com/product/652960_in_200x200.jpg
652830,8925877,Riftbound: League of Legends Trading Card Game,Origins,Sunlit Guardian,,054/298,Common,Near Mint,Normal,0.09,,,,,2,,https://tcgplayer-cdn.tcgplayer.com/product/652830_in_200x200.jpg
652873,8926197,Riftbound: League of Legends Trading Card Game,Origins,Riptide Rex,,092/298,Common,Near Mint,Normal,0.12,,,,,2,,https://tcgplayer-cdn.tcgplayer.com/product/652873_in_200x200.jpg
652914,8926507,Riftbound: League of Legends Trading Card Game,Origins,Crackshot Corsair,,130/298,Common,Near Mint,Normal,0.06,,,,,2,,https://tcgplayer-cdn.tcgplayer.com/product/652914_in_200x200.jpg
652957,8926827,Riftbound: League of Legends Trading Card Game,Origins,Fight or Flight,,168/298,Common,Near Mint,Normal,0.05,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652957_in_200x200.jpg
652792,8925607,Riftbound: League of Legends Trading Card Game,Origins,Sun Disc,,021/298,Uncommon,Near Mint,Normal,0.17,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652792_in_200x200.jpg
652838,8925957,Riftbound: League of Legends Trading Card Game,Origins,Reinforce,,062/298,Uncommon,Near Mint,Normal,0.16,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652838_in_200x200.jpg
652974,8926997,Riftbound: League of Legends Trading Card Game,Origins,Traveling Merchant,,185/298,Uncommon,Near Mint,Normal,0.20,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652974_in_200x200.jpg
652877,8926237,Riftbound: League of Legends Trading Card Game,Origins,Watchful Sentry,,096/298,Common,Near Mint,Normal,0.16,,,,,2,,https://tcgplayer-cdn.tcgplayer.com/product/652877_in_200x200.jpg
652918,8926547,Riftbound: League of Legends Trading Card Game,Origins,Mobilize,,134/298,Common,Near Mint,Normal,0.13,,,,,2,,https://tcgplayer-cdn.tcgplayer.com/product/652918_in_200x200.jpg
652913,8926497,Riftbound: League of Legends Trading Card Game,Origins,Confront,,129/298,Common,Near Mint,Normal,0.15,,,,,2,,https://tcgplayer-cdn.tcgplayer.com/product/652913_in_200x200.jpg
652872,8926187,Riftbound: League of Legends Trading Card Game,Origins,Pit Crew,,091/298,Common,Near Mint,Normal,0.13,,,,,2,,https://tcgplayer-cdn.tcgplayer.com/product/652872_in_200x200.jpg
